description,amount,is_recurring,source,month,account_type,debit_credit
sales collection reference 77140,408376.1,1,Manual,1,revenue,credit
purchase of computer equipment reference 46607,358937.75,0,PDF,3,asset,debit
prepaid insurance reference 91237,207201.18,1,CSV,6,asset,debit
accounts receivable created reference 55433,78727.95,0,Excel,8,asset,debit
sales revenue from customer invoice reference 15975,431342.63,0,Bank,2,revenue,credit
software subscription expense reference 12359,481976.48,1,PDF,7,expense,debit
accounts payable recorded reference 14242,325593.69,0,Manual,2,liability,credit
supplier payable created reference 20506,197647.01,1,CSV,7,liability,credit
maintenance and repair expense reference 61512,329803.72,0,Manual,1,expense,debit
short term borrowing reference 61737,331741.24,0,Excel,8,liability,credit
inventory purchase for stock reference 91855,439537.51,0,Bank,1,asset,debit
sales collection reference 46471,433162.71,0,Bank,1,revenue,credit
capital introduced by shareholder reference 70764,58362.94,0,Manual,12,equity,credit
sales collection reference 59586,29871.13,0,CSV,11,revenue,debit
short term borrowing reference 25541,179052.5,1,Manual,3,liability,debit
vendor credit purchase reference 48121,489254.44,0,Manual,7,liability,credit
purchase of machinery reference 34144,393707.85,0,PDF,6,asset,debit
owner withdrawal against equity reference 81152,98445.76,1,Bank,3,equity,credit
accounts receivable created reference 27756,247907.01,0,Bank,10,asset,debit
shareholder contribution reference 48616,473836.57,0,Excel,10,equity,credit
salary payable recorded reference 28794,197562.39,0,Manual,8,liability,credit
vehicle purchase for business reference 26691,124581.61,0,PDF,3,asset,debit
product sales receipt reference 44664,169834.37,0,CSV,2,revenue,credit
product sales receipt reference 33808,423316.03,1,PDF,5,revenue,credit
vehicle purchase for business reference 78594,261410.27,0,PDF,3,asset,debit
purchase of machinery reference 24858,417236.25,0,Bank,2,asset,debit
customer invoice settlement reference 41800,393838.21,0,Manual,10,revenue,credit
gst payable recorded reference 20213,181258.04,0,Excel,12,liability,credit
short term borrowing reference 20540,171731.14,1,Manual,7,liability,credit
office electricity bill reference 79577,31258.18,0,Manual,12,expense,debit
consulting income received reference 11774,26518.34,0,Bank,1,revenue,credit
prepaid insurance reference 36392,442374.56,0,Bank,7,asset,debit
owner investment into business reference 64769,344690.84,1,Manual,10,equity,credit
accounts payable recorded reference 96198,175422.79,0,PDF,2,liability,credit
gst payable recorded reference 96580,321890.69,0,Manual,12,liability,credit
client payment for consulting services reference 81596,244704.7,0,Manual,12,revenue,credit
professional fees reference 86414,115145.29,0,Excel,9,expense,credit
sales collection reference 61636,254726.38,1,Excel,10,revenue,credit
owner capital introduced reference 48033,471845.72,1,CSV,2,equity,credit
subscription revenue reference 26572,247902.66,1,Excel,2,revenue,credit
product sales receipt reference 49072,45214.7,0,Bank,3,revenue,credit
owner investment into business reference 78938,189439.07,0,Bank,11,equity,credit
client payment for consulting services reference 38649,230873.84,0,CSV,1,revenue,credit
tax payable recorded reference 91204,125203.86,0,Bank,8,liability,credit
service revenue received reference 45229,398587.21,0,Bank,5,revenue,credit
security deposit paid reference 28595,44716.59,0,Excel,5,asset,debit
shareholder contribution reference 69372,391385.33,1,Excel,5,equity,credit
internet and telecom bill reference 96818,164496.89,0,Bank,4,expense,debit
gst payable recorded reference 16672,206537.4,1,PDF,12,liability,credit
additional equity contribution reference 35535,50195.62,1,Excel,1,equity,credit
vendor credit purchase reference 10773,382119.62,0,Excel,9,liability,credit
owner investment into business reference 45964,469065.49,0,CSV,6,equity,credit
courier and postage expense reference 36116,3422.44,0,Manual,6,expense,debit
purchase of computer equipment reference 81606,206536.15,0,Manual,1,asset,debit
salary payable recorded reference 41768,323863.74,1,CSV,8,liability,credit
retained earnings transfer reference 94401,404581.36,1,Bank,8,equity,credit
accounts payable recorded reference 37575,260196.65,0,CSV,9,liability,credit
shareholder contribution reference 75567,165094.92,1,Bank,11,equity,credit
office electricity bill reference 25609,140051.98,1,Manual,3,expense,credit
salary payable recorded reference 26521,1286.87,0,PDF,7,liability,credit
share capital contribution reference 12471,177227.83,0,Excel,7,equity,credit
courier and postage expense reference 13482,304665.37,0,Excel,1,expense,debit
office electricity bill reference 86413,161514.7,0,Manual,11,expense,debit
consulting income received reference 45235,276721.06,0,CSV,3,revenue,credit
inventory purchase for stock reference 34517,142676.0,1,CSV,4,asset,debit
maintenance and repair expense reference 19368,13857.87,1,Manual,3,expense,debit
office furniture purchase reference 51943,384437.59,0,Manual,5,asset,debit
client payment for consulting services reference 32883,459437.44,0,Manual,8,revenue,debit
owner withdrawal against equity reference 52573,408045.93,0,PDF,5,equity,credit
supplier payable created reference 19484,270335.01,1,Bank,10,liability,credit
courier and postage expense reference 62430,51866.16,0,PDF,8,expense,debit
courier and postage expense reference 29749,328754.67,1,PDF,3,expense,debit
internet and telecom bill reference 36318,148430.9,0,PDF,1,expense,debit
salary payable recorded reference 28671,325828.3,0,Bank,1,liability,debit
equipment acquisition reference 59197,258895.56,0,CSV,2,asset,debit
capital introduced by shareholder reference 36729,293239.99,0,CSV,9,equity,credit
owner investment into business reference 93398,409086.16,1,Bank,11,equity,credit
tax payable recorded reference 22293,153353.05,0,Excel,6,liability,credit
accounts payable recorded reference 87212,175727.84,0,CSV,3,liability,credit
short term borrowing reference 52139,370519.0,1,Bank,2,liability,credit
retained earnings transfer reference 44103,488328.9,0,CSV,10,equity,credit
capital introduced by shareholder reference 55797,9206.56,0,CSV,2,equity,credit
equipment acquisition reference 94065,172996.78,0,Bank,7,asset,debit
office furniture purchase reference 67494,325875.05,0,Manual,9,asset,debit
business travel expense reference 72007,326918.49,0,PDF,12,expense,debit
short term borrowing reference 97269,246076.55,0,Bank,7,liability,credit
internet and telecom bill reference 95666,497691.32,0,Manual,10,expense,debit
purchase of office laptop reference 72421,455741.33,0,Bank,10,asset,debit
capital introduced by shareholder reference 40368,32075.64,0,Bank,7,equity,debit
maintenance and repair expense reference 92018,158918.88,0,Excel,11,expense,credit
vendor credit purchase reference 19993,402246.34,0,Manual,10,liability,credit
purchase of computer equipment reference 69289,388112.48,0,Excel,11,asset,debit
salary payable recorded reference 40171,214675.48,0,PDF,11,liability,credit
vehicle purchase for business reference 37579,386989.95,0,PDF,3,asset,debit
equipment acquisition reference 70853,146659.23,1,PDF,10,asset,debit
prepaid insurance reference 31157,314642.51,0,Excel,4,asset,debit
marketing campaign expense reference 92032,65831.77,0,Excel,2,expense,credit
accounts receivable created reference 85230,235858.57,1,Bank,4,asset,debit
subscription revenue reference 25468,192461.18,0,Excel,7,revenue,credit
marketing campaign expense reference 29865,328369.2,0,CSV,2,expense,debit
sales revenue from customer invoice reference 52445,122659.14,0,PDF,11,revenue,credit
purchase of office laptop reference 35720,103454.01,1,PDF,3,asset,debit
owner withdrawal against equity reference 69695,476548.51,0,Manual,7,equity,credit
additional equity contribution reference 84043,495732.0,0,Manual,8,equity,credit
owner investment into business reference 32815,164689.95,0,CSV,2,equity,credit
equipment acquisition reference 55231,148909.05,0,CSV,4,asset,debit
prepaid insurance reference 21633,480255.08,0,CSV,12,asset,debit
owner investment into business reference 70353,373421.2,0,CSV,6,equity,credit
consulting income received reference 17647,418139.83,0,Excel,3,revenue,credit
prepaid insurance reference 98052,95450.03,0,Excel,6,asset,debit
software subscription expense reference 59904,334003.87,0,CSV,3,expense,debit
vehicle purchase for business reference 70951,453636.27,1,Manual,4,asset,debit
capital introduced by shareholder reference 83956,162293.18,0,Manual,3,equity,credit
internet and telecom bill reference 65401,217346.47,0,CSV,9,expense,debit
tax payable recorded reference 70478,371399.0,0,Excel,3,liability,credit
purchase of office laptop reference 71543,263287.28,0,CSV,11,asset,debit
courier and postage expense reference 87962,122934.07,0,Manual,11,expense,debit
vendor credit purchase reference 13553,248340.4,0,CSV,10,liability,credit
tax payable recorded reference 32122,191747.37,0,Bank,9,liability,credit
employee salary payment reference 18340,459960.64,0,Manual,2,expense,debit
owner capital introduced reference 23952,226799.73,0,Bank,11,equity,credit
internet and telecom bill reference 64450,254191.07,1,CSV,9,expense,debit
product sales receipt reference 80447,103533.32,1,PDF,6,revenue,credit
purchase of office laptop reference 91313,367861.93,0,PDF,6,asset,debit
business travel expense reference 23773,103308.92,0,Excel,5,expense,debit
retained earnings transfer reference 36481,78106.35,1,PDF,9,equity,credit
shareholder contribution reference 66740,48364.79,0,Excel,10,equity,credit
insurance expense reference 17105,425514.96,0,PDF,5,expense,debit
tax payable recorded reference 43401,395556.17,0,CSV,5,liability,credit
office electricity bill reference 39626,156767.46,1,Bank,12,expense,credit
short term borrowing reference 12776,422261.27,0,CSV,1,liability,credit
prepaid insurance reference 77702,490894.35,0,Excel,3,asset,debit
owner withdrawal against equity reference 46685,41707.36,0,CSV,7,equity,credit
sales revenue from customer invoice reference 81640,402344.93,0,PDF,4,revenue,debit
owner capital introduced reference 92593,213118.25,0,CSV,11,equity,credit
insurance expense reference 76547,304656.67,0,Manual,5,expense,debit
accounts payable recorded reference 95834,118875.69,0,Bank,1,liability,credit
consulting income received reference 66036,153763.5,0,CSV,7,revenue,credit
equipment acquisition reference 48374,95736.12,0,CSV,2,asset,credit
service revenue received reference 98934,163796.27,1,CSV,3,revenue,credit
monthly office rent reference 41882,3989.93,0,CSV,3,expense,debit
monthly office rent reference 70761,168288.3,1,PDF,9,expense,debit
shareholder contribution reference 90030,120113.56,0,Bank,1,equity,credit
consulting income received reference 49457,374908.55,0,Manual,1,revenue,credit
tax payable recorded reference 59130,65269.73,0,Bank,7,liability,credit
sales collection reference 62074,70943.14,0,Bank,11,revenue,debit
sales collection reference 92756,149919.98,0,PDF,11,revenue,credit
vehicle purchase for business reference 72696,158374.45,0,CSV,3,asset,debit
owner investment into business reference 70386,306689.76,0,Bank,5,equity,credit
office electricity bill reference 90759,55657.54,0,Manual,12,expense,credit
equipment acquisition reference 57124,55798.72,0,Excel,7,asset,debit
sales revenue from customer invoice reference 61039,248531.13,0,PDF,9,revenue,credit
monthly office rent reference 53637,134295.36,1,Excel,11,expense,debit
prepaid insurance reference 80186,470888.35,0,Manual,5,asset,debit
accounts payable recorded reference 62514,244486.16,1,Manual,12,liability,credit
client payment for consulting services reference 32028,164725.57,0,PDF,3,revenue,credit
insurance expense reference 48048,118730.17,0,PDF,9,expense,debit
business travel expense reference 73678,30185.4,0,Manual,5,expense,debit
vehicle purchase for business reference 79142,117787.82,0,Bank,11,asset,debit
business travel expense reference 14602,393047.51,0,Bank,7,expense,debit
purchase of computer equipment reference 23237,435423.83,0,Manual,6,asset,debit
prepaid insurance reference 31474,301124.36,0,PDF,9,asset,debit
purchase of machinery reference 76106,203456.4,1,Excel,5,asset,debit
security deposit paid reference 69207,63994.4,0,Bank,6,asset,debit
monthly office rent reference 91117,419334.31,0,CSV,10,expense,debit
supplier payable created reference 35948,126601.77,0,PDF,8,liability,credit
supplier payable created reference 73165,276910.96,1,CSV,11,liability,debit
subscription revenue reference 66422,92478.02,1,PDF,6,revenue,credit
marketing campaign expense reference 73061,91085.5,0,Manual,6,expense,debit
sales collection reference 19983,70085.51,0,PDF,8,revenue,credit
software subscription expense reference 81963,169084.06,0,Manual,8,expense,debit
consulting income received reference 87356,224402.05,0,Excel,11,revenue,credit
sales collection reference 31069,311691.28,0,Bank,2,revenue,credit
shareholder contribution reference 20300,132123.77,0,CSV,2,equity,credit
loan repayment liability reference 54993,374256.86,0,Bank,11,liability,credit
equipment acquisition reference 67564,285475.27,0,Manual,1,asset,debit
accounts receivable created reference 34549,180623.8,0,PDF,1,asset,debit
purchase of computer equipment reference 91591,99379.83,0,Excel,10,asset,debit
business loan received reference 75966,88769.0,0,Manual,1,liability,debit
consulting income received reference 58314,170237.26,0,Excel,4,revenue,credit
client payment for consulting services reference 64770,324999.63,0,Excel,9,revenue,credit
salary payable recorded reference 83261,298911.18,0,Manual,9,liability,debit
owner withdrawal against equity reference 28890,175514.78,0,Excel,1,equity,credit
professional fees reference 24176,259618.33,0,CSV,3,expense,debit
customer invoice settlement reference 98233,442481.37,1,Manual,12,revenue,credit
product sales receipt reference 25348,6661.91,0,Bank,1,revenue,credit
equipment acquisition reference 67451,22648.29,0,PDF,8,asset,debit
loan repayment liability reference 46739,254307.6,0,Manual,2,liability,credit
short term borrowing reference 76130,287160.27,0,PDF,11,liability,credit
client payment for consulting services reference 23906,364767.01,0,Manual,1,revenue,credit
office electricity bill reference 16652,112631.0,1,Bank,2,expense,debit
office electricity bill reference 47316,288587.22,0,Excel,4,expense,debit
consulting income received reference 96537,253998.56,0,Bank,2,revenue,credit
insurance expense reference 47375,49232.42,1,Manual,1,expense,debit
equipment acquisition reference 58389,455711.39,0,CSV,1,asset,debit
owner withdrawal against equity reference 87345,329506.0,0,PDF,3,equity,credit
sales revenue from customer invoice reference 19504,433064.06,0,Excel,2,revenue,credit
customer invoice settlement reference 72933,178668.05,0,CSV,2,revenue,credit
service revenue received reference 34795,443257.01,0,PDF,11,revenue,credit
professional fees reference 72282,159424.13,0,Bank,3,expense,debit
security deposit paid reference 60948,281720.44,0,Bank,7,asset,debit
owner capital introduced reference 46512,229885.76,0,Manual,10,equity,credit
share capital contribution reference 35894,214925.7,0,CSV,10,equity,credit
purchase of machinery reference 42839,363083.48,0,Bank,8,asset,debit
service revenue received reference 35872,87681.3,0,Manual,6,revenue,credit
sales collection reference 19261,484266.11,0,Excel,10,revenue,credit
internet and telecom bill reference 24589,443299.63,0,CSV,3,expense,debit
gst payable recorded reference 19556,307878.41,1,Excel,6,liability,credit
owner investment into business reference 44172,384222.82,0,CSV,3,equity,credit
prepaid insurance reference 65553,334575.78,0,Bank,6,asset,debit
prepaid insurance reference 42913,279887.14,1,PDF,5,asset,credit
capital introduced by shareholder reference 21938,194422.61,0,Excel,4,equity,credit
sales revenue from customer invoice reference 30507,379790.88,0,Bank,1,revenue,credit
employee salary payment reference 95823,472050.0,1,Manual,12,expense,debit
owner investment into business reference 41984,130658.16,0,CSV,5,equity,credit
sales revenue from customer invoice reference 22347,218126.98,0,PDF,1,revenue,credit
sales revenue from customer invoice reference 78639,193659.33,1,Excel,11,revenue,credit
maintenance and repair expense reference 74103,420175.37,0,Excel,10,expense,debit
employee salary payment reference 43393,138233.61,0,CSV,8,expense,debit
accounts payable recorded reference 66375,220114.07,1,Manual,9,liability,credit
maintenance and repair expense reference 43986,267852.18,0,CSV,3,expense,debit
service revenue received reference 11514,135856.25,0,Excel,11,revenue,credit
sales collection reference 34088,387463.95,0,Excel,3,revenue,credit
supplier payable created reference 34872,283601.36,1,CSV,1,liability,credit
client payment for consulting services reference 93539,318453.48,0,Bank,1,revenue,credit
office furniture purchase reference 64608,225303.96,0,Manual,1,asset,credit
customer invoice settlement reference 17333,399465.01,0,CSV,5,revenue,credit
tax payable recorded reference 84927,424603.03,0,CSV,5,liability,credit
capital introduced by shareholder reference 90865,348959.97,0,CSV,3,equity,credit
subscription revenue reference 70332,48955.1,1,PDF,1,revenue,credit
vendor credit purchase reference 64543,265107.11,0,Bank,8,liability,credit
sales collection reference 76515,232873.63,1,Manual,10,revenue,credit
insurance expense reference 32570,4166.29,1,PDF,12,expense,debit
accounts payable recorded reference 81284,489144.44,1,Excel,10,liability,credit
employee salary payment reference 43949,494847.09,0,CSV,1,expense,debit
office furniture purchase reference 14103,469515.42,0,CSV,4,asset,debit
loan repayment liability reference 81956,52385.55,0,CSV,7,liability,credit
consulting income received reference 67159,201870.05,1,Manual,5,revenue,credit
product sales receipt reference 33776,29000.93,0,Excel,5,revenue,credit
internet and telecom bill reference 24531,151619.41,0,Excel,2,expense,debit
sales collection reference 57242,425290.38,0,PDF,2,revenue,credit
vehicle purchase for business reference 85058,264543.39,0,Manual,9,asset,debit
share capital contribution reference 35691,267122.4,0,PDF,8,equity,credit
accounts receivable created reference 29872,7568.29,0,Excel,9,asset,debit
additional equity contribution reference 93112,228556.25,1,Bank,7,equity,credit
employee salary payment reference 10936,235412.97,0,Manual,8,expense,debit
internet and telecom bill reference 20882,49192.68,0,CSV,8,expense,debit
shareholder contribution reference 50807,443341.48,1,CSV,4,equity,credit
retained earnings transfer reference 35110,278592.04,0,Bank,1,equity,credit
additional equity contribution reference 90917,256294.87,0,PDF,7,equity,credit
accounts payable recorded reference 71313,411640.64,0,CSV,2,liability,credit
maintenance and repair expense reference 88814,298162.66,0,PDF,7,expense,debit
prepaid insurance reference 34338,3770.66,0,Bank,10,asset,debit
software subscription expense reference 70797,352888.68,1,CSV,5,expense,debit
maintenance and repair expense reference 79483,208917.09,0,Manual,5,expense,debit
vendor credit purchase reference 51510,145857.72,0,Excel,4,liability,credit
courier and postage expense reference 46335,293285.5,0,Excel,3,expense,debit
owner capital introduced reference 32715,304209.58,0,Excel,7,equity,credit
prepaid insurance reference 81831,110731.52,0,CSV,3,asset,debit
maintenance and repair expense reference 16258,335098.61,0,Bank,2,expense,debit
short term borrowing reference 82208,85806.64,0,CSV,2,liability,credit
courier and postage expense reference 78088,457899.09,0,CSV,4,expense,debit
office furniture purchase reference 31391,323644.06,0,Manual,3,asset,credit
sales revenue from customer invoice reference 69258,44437.89,0,PDF,3,revenue,credit
accounts payable recorded reference 39953,292338.21,0,PDF,4,liability,credit
short term borrowing reference 89032,74026.62,0,Bank,3,liability,credit
shareholder contribution reference 27897,40600.86,1,Bank,10,equity,credit
owner withdrawal against equity reference 14714,17056.55,0,Excel,12,equity,credit
equipment acquisition reference 63307,227601.84,0,PDF,3,asset,debit
office furniture purchase reference 42067,35767.98,0,Excel,9,asset,debit
supplier payable created reference 27993,262815.91,1,Bank,9,liability,debit
sales revenue from customer invoice reference 26165,224456.9,0,CSV,11,revenue,credit
accounts payable recorded reference 19095,497652.42,0,Bank,9,liability,credit
accounts receivable created reference 98966,315580.75,0,CSV,1,asset,debit
client payment for consulting services reference 16076,26877.15,1,Bank,6,revenue,credit
owner capital introduced reference 84453,218165.86,0,Excel,7,equity,debit
product sales receipt reference 52238,75761.15,1,CSV,11,revenue,credit
security deposit paid reference 57459,189625.13,0,PDF,10,asset,debit
short term borrowing reference 95497,117568.44,1,Manual,9,liability,credit
office electricity bill reference 71134,456937.14,0,Bank,3,expense,debit
purchase of machinery reference 35498,109087.6,0,PDF,3,asset,debit
purchase of machinery reference 26779,39911.88,0,Excel,11,asset,debit
purchase of office laptop reference 94944,326388.0,0,Excel,4,asset,debit
internet and telecom bill reference 37639,365619.22,0,CSV,8,expense,debit
capital introduced by shareholder reference 87897,192050.29,0,PDF,11,equity,credit
office electricity bill reference 31146,67143.33,1,Excel,12,expense,debit
monthly office rent reference 97497,388290.49,1,Manual,2,expense,debit
vehicle purchase for business reference 49850,293894.32,0,CSV,9,asset,debit
accounts receivable created reference 16980,408026.66,0,Excel,12,asset,debit
salary payable recorded reference 52875,156370.31,1,Bank,2,liability,credit
sales collection reference 98305,451411.88,1,PDF,1,revenue,credit
customer invoice settlement reference 31978,456379.58,0,CSV,11,revenue,debit
additional equity contribution reference 35543,11572.37,0,PDF,5,equity,credit
owner investment into business reference 75871,398629.93,0,Excel,5,equity,debit
owner capital introduced reference 84557,310646.27,0,Excel,8,equity,debit
courier and postage expense reference 30009,174680.04,1,Bank,9,expense,debit
accounts receivable created reference 26667,113691.49,0,Manual,12,asset,debit
loan repayment liability reference 25113,364652.72,0,Manual,10,liability,credit
owner withdrawal against equity reference 73202,59016.65,0,PDF,7,equity,credit
short term borrowing reference 61716,415946.97,0,PDF,10,liability,credit
customer invoice settlement reference 23617,83182.99,0,Manual,12,revenue,credit
subscription revenue reference 31593,157426.22,0,Bank,8,revenue,debit
courier and postage expense reference 90427,190439.33,0,Excel,1,expense,debit
service revenue received reference 31751,171766.5,0,Manual,10,revenue,credit
purchase of office laptop reference 11151,346755.33,1,PDF,6,asset,debit
supplier payable created reference 39375,231889.79,0,Manual,6,liability,credit
service revenue received reference 28719,259697.86,0,PDF,2,revenue,credit
sales revenue from customer invoice reference 57111,313108.72,0,Manual,1,revenue,credit
internet and telecom bill reference 67722,499561.94,0,Excel,6,expense,debit
software subscription expense reference 53441,28066.05,0,Manual,2,expense,debit
business travel expense reference 53668,175888.03,0,Bank,5,expense,credit
shareholder contribution reference 48301,18591.26,0,Excel,8,equity,credit
business loan received reference 44860,290631.76,0,CSV,5,liability,credit
accounts payable recorded reference 44799,89604.9,0,PDF,2,liability,credit
capital introduced by shareholder reference 38632,147319.25,0,Manual,6,equity,credit
accounts payable recorded reference 15715,46583.07,1,CSV,10,liability,credit
additional equity contribution reference 97758,420201.76,0,Excel,8,equity,credit
customer invoice settlement reference 30479,290413.21,1,Manual,6,revenue,credit
additional equity contribution reference 20405,332759.53,0,Excel,11,equity,credit
professional fees reference 93395,491055.65,0,CSV,11,expense,debit
monthly office rent reference 39982,169316.98,0,CSV,11,expense,debit
supplier payable created reference 56005,431236.82,0,CSV,7,liability,credit
share capital contribution reference 33555,340454.07,0,CSV,9,equity,credit
professional fees reference 81316,433062.28,0,PDF,1,expense,debit
purchase of machinery reference 52829,303303.56,0,Bank,3,asset,debit
customer invoice settlement reference 18255,333911.22,0,PDF,8,revenue,credit
software subscription expense reference 98049,496270.46,1,Excel,8,expense,debit
maintenance and repair expense reference 83668,130918.09,0,PDF,12,expense,debit
purchase of office laptop reference 31681,32347.07,1,CSV,9,asset,debit
owner capital introduced reference 43607,348775.69,0,Manual,9,equity,credit
sales collection reference 98164,211831.65,1,Manual,4,revenue,credit
owner investment into business reference 13877,137187.41,0,Excel,3,equity,credit
sales collection reference 42393,305606.86,0,Bank,5,revenue,credit
office supplies purchase reference 43434,324726.78,1,PDF,6,expense,debit
sales revenue from customer invoice reference 40552,477471.75,0,Bank,2,revenue,credit
prepaid insurance reference 95511,363884.25,1,Excel,4,asset,debit
accounts payable recorded reference 49910,297854.93,0,Manual,2,liability,credit
subscription revenue reference 67339,145063.36,1,Excel,2,revenue,credit
vendor credit purchase reference 14509,304144.15,0,Bank,5,liability,credit
inventory purchase for stock reference 18045,435361.24,1,PDF,1,asset,debit
sales revenue from customer invoice reference 92297,231048.05,1,CSV,3,revenue,credit
loan repayment liability reference 13121,243858.14,0,Excel,10,liability,credit
retained earnings transfer reference 86436,47086.37,1,Bank,8,equity,credit
accounts payable recorded reference 58500,176229.59,0,Excel,10,liability,credit
shareholder contribution reference 45644,334040.18,0,Manual,6,equity,credit
shareholder contribution reference 32071,482274.51,1,Manual,3,equity,credit
consulting income received reference 66043,375543.87,0,Manual,3,revenue,debit
short term borrowing reference 78400,42485.14,0,PDF,10,liability,credit
business loan received reference 47103,93055.76,0,Excel,12,liability,debit
share capital contribution reference 67464,219966.98,0,Manual,4,equity,credit
client payment for consulting services reference 92131,440322.23,1,PDF,5,revenue,credit
sales collection reference 18379,422282.1,1,CSV,10,revenue,credit
vendor credit purchase reference 11342,252299.15,0,CSV,4,liability,credit
additional equity contribution reference 69164,101410.96,0,Excel,10,equity,credit
office furniture purchase reference 71975,448740.23,0,CSV,10,asset,debit
salary payable recorded reference 81555,378955.69,0,PDF,1,liability,credit
marketing campaign expense reference 24790,127743.89,1,PDF,2,expense,debit
tax payable recorded reference 81680,474926.14,1,PDF,12,liability,credit
employee salary payment reference 95782,162974.26,0,Bank,9,expense,debit
purchase of computer equipment reference 21353,163526.26,1,Excel,2,asset,debit
employee salary payment reference 84925,496670.68,0,Bank,11,expense,debit
tax payable recorded reference 55295,45393.86,0,CSV,10,liability,credit
vendor credit purchase reference 67152,135224.9,0,Manual,9,liability,credit
prepaid insurance reference 23242,73543.1,0,Manual,7,asset,debit
monthly office rent reference 45545,135748.65,0,PDF,6,expense,debit
employee salary payment reference 59380,163592.48,0,Excel,2,expense,debit
professional fees reference 68975,464983.23,0,Manual,7,expense,debit
purchase of computer equipment reference 55891,130625.41,0,Bank,12,asset,debit
service revenue received reference 76139,101601.09,0,Excel,11,revenue,credit
vendor credit purchase reference 55054,106769.39,0,Excel,12,liability,credit
service revenue received reference 29975,57396.67,0,CSV,10,revenue,credit
product sales receipt reference 48405,395671.0,0,Excel,1,revenue,credit
professional fees reference 27118,351719.85,0,Bank,5,expense,debit
business travel expense reference 27229,398888.59,0,Bank,8,expense,debit
office electricity bill reference 34448,193194.02,0,Bank,6,expense,debit
client payment for consulting services reference 41308,143111.74,0,Excel,11,revenue,credit
tax payable recorded reference 59667,26251.8,0,PDF,8,liability,credit
employee salary payment reference 60886,439992.89,0,Bank,2,expense,debit
loan repayment liability reference 26887,422202.64,0,Bank,7,liability,credit
loan repayment liability reference 13797,30408.03,0,Bank,6,liability,credit
client payment for consulting services reference 37161,127965.66,0,Excel,8,revenue,credit
sales collection reference 84277,94889.82,0,Manual,11,revenue,credit
software subscription expense reference 24838,149374.94,0,CSV,8,expense,debit
sales revenue from customer invoice reference 33719,171672.75,0,Excel,6,revenue,credit
monthly office rent reference 17881,491845.48,0,PDF,7,expense,debit
short term borrowing reference 57781,454674.84,1,Manual,5,liability,credit
consulting income received reference 71677,55792.09,1,PDF,9,revenue,credit
share capital contribution reference 57285,258094.45,0,Excel,3,equity,credit
purchase of machinery reference 55637,248485.16,1,Excel,3,asset,debit
share capital contribution reference 80609,285347.58,0,Manual,10,equity,credit
security deposit paid reference 70227,468715.26,1,Manual,6,asset,debit
software subscription expense reference 90661,139143.81,0,Bank,7,expense,debit
additional equity contribution reference 15826,420301.49,0,PDF,10,equity,credit
business travel expense reference 20792,403784.26,0,PDF,5,expense,debit
sales collection reference 47253,302819.56,0,PDF,7,revenue,credit
vehicle purchase for business reference 18978,445752.8,0,CSV,5,asset,debit
employee salary payment reference 55602,464442.77,0,Excel,11,expense,debit
office supplies purchase reference 79342,281919.47,0,Bank,11,expense,debit
additional equity contribution reference 36686,499731.87,0,Manual,4,equity,credit
gst payable recorded reference 51628,237453.89,0,Excel,8,liability,credit
office furniture purchase reference 98553,416757.86,1,CSV,2,asset,debit
customer invoice settlement reference 63291,378159.6,0,Excel,1,revenue,credit
sales collection reference 13957,295745.87,0,Manual,9,revenue,credit
inventory purchase for stock reference 14339,473100.53,0,Bank,5,asset,debit
purchase of office laptop reference 55971,175590.56,1,CSV,10,asset,debit
maintenance and repair expense reference 28607,55640.42,0,CSV,3,expense,debit
owner capital introduced reference 30968,481420.15,0,PDF,9,equity,credit
owner investment into business reference 74432,198626.53,0,Excel,4,equity,credit
gst payable recorded reference 48854,219094.65,0,Excel,4,liability,credit
share capital contribution reference 32843,58857.51,0,PDF,6,equity,credit
office supplies purchase reference 52765,133853.8,0,CSV,4,expense,debit
client payment for consulting services reference 76013,183502.89,0,CSV,2,revenue,credit
prepaid insurance reference 79807,36456.9,0,CSV,7,asset,debit
inventory purchase for stock reference 94689,140949.72,0,Excel,1,asset,debit
professional fees reference 52671,212278.57,0,Bank,3,expense,debit
prepaid insurance reference 24467,32758.45,0,CSV,12,asset,debit
security deposit paid reference 29976,245480.14,0,PDF,10,asset,debit
shareholder contribution reference 48756,64089.11,1,CSV,7,equity,credit
share capital contribution reference 69078,120953.68,0,Manual,3,equity,credit
tax payable recorded reference 19393,57875.73,1,Manual,9,liability,credit
vehicle purchase for business reference 13385,316470.22,0,Excel,7,asset,debit
purchase of machinery reference 78745,423971.86,1,CSV,8,asset,debit
business travel expense reference 36695,31501.5,1,PDF,2,expense,debit
share capital contribution reference 44624,388236.6,1,Excel,8,equity,credit
marketing campaign expense reference 33746,223496.85,0,Bank,2,expense,debit
insurance expense reference 24538,113115.97,0,Excel,6,expense,debit
sales collection reference 99797,158905.27,0,Manual,11,revenue,credit
additional equity contribution reference 40783,24852.04,0,Manual,9,equity,debit
office electricity bill reference 68901,99584.79,0,PDF,7,expense,debit
office electricity bill reference 53745,234535.17,0,Manual,1,expense,debit
service revenue received reference 37952,491527.92,0,Excel,8,revenue,credit
purchase of computer equipment reference 74989,109655.31,0,Bank,7,asset,debit
subscription revenue reference 63679,396239.28,0,Excel,11,revenue,credit
accounts receivable created reference 11599,354970.94,0,Excel,6,asset,debit
